size,itemset,support,
1,0.010845986984815618,[Hangar 24 Craft Brewery=Betty IPA],
1,0.014099783080260303,[Firestone Walker Brewing Company=Firestone 19 (XIX) Anniversary Ale],
1,0.015184381778741865,[Firestone Walker Brewing Company=Stickee Monkee (2014)],
1,0.009761388286334056,[Alaskan Brewing Co.=Summer Ale],
1,0.020607375271149676,[Ninkasi Brewing Company=Vanilla Oatis Stout],
1,0.01735357917570499,[Stone Brewing Co.=Xocoveza For The Holidays & The New Year],
1,0.008676789587852495,[Ballast Point Brewing & Spirits=The Commodore],
1,0.008676789587852495,[Grupo Modelo S.A. de C.V.=Victoria],
1,0.01843817787418655,[Goose Island Beer Co.=312 Urban Wheat Ale],
1,0.014099783080260303,[Redhook Brewery=Long Hammer IPA],
1,0.008676789587852495,[21st Amendment Brewery=Fireside Chat],
1,0.016268980477223426,[Stone Brewing Co.=24 Carrot Golden Ale],
1,0.014099783080260303,[Central Coast Brewing=Raspberry A La Tart],
1,0.013015184381778741,[Karl Strauss Brewing Company=Wreck Alley Imperial Stout],
1,0.009761388286334056,[John Crabbie & Co=Original],
1,0.04772234273318872,[Firestone Walker Brewing Company=Easy Jack],
1,0.01843817787418655,[Figueroa Mountain Brewing Co.=Davy Brown Ale],
1,0.008676789587852495,[Crispin Cider Company=Original Cider],
1,0.027114967462039046,[Firestone Walker Brewing Company=Opal],
1,0.014099783080260303,[Drake's Brewing Company=Black Robusto Porter],
1,0.01843817787418655,[Lagunitas Brewing Company=Pils],
1,0.026030368763557483,[Firestone Walker Brewing Company=Pivo Pils],
1,0.04121475054229935,[Dogfish Head Craft Brewery=90 Minute IPA],
1,0.010845986984815618,[Dogfish Head Craft Brewery=Festina Peche],
1,0.008676789587852495,[Mac & Jack's Brewing Company=African Amber],
1,0.04772234273318872,[Lagunitas Brewing Company=IPA],
1,0.031453362255965296,[Bear Republic Brewing Co.=Racer 5 IPA®],
1,0.033622559652928416,[21st Amendment Brewery=Hell or High Watermelon],
1,0.020607375271149676,[Alaskan Brewing Co.=Amber],
1,0.04880694143167028,[Figueroa Mountain Brewing Co.=Lizard's Mouth],
1,0.06399132321041215,[Firestone Walker Brewing Company=805 Blonde],
1,0.03579175704989154,[Stone Brewing Co.=Stone IPA],
1,0.013015184381778741,[Belching Beaver=Me So Honey],
1,0.02928416485900217,[New Belgium Brewing Company=Fat Tire],
1,0.03470715835140998,[Arrogant Bastard Brewing Co.=Arrogant Bastard Ale],
1,0.01843817787418655,[Lost Coast Brewery=Great White],
1,0.015184381778741865,[Charles Wells Brewery=Banana Bread Beer],
1,0.04880694143167028,[Firestone Walker Brewing Company=DBA (Double Barrel Ale)],
1,0.0368763557483731,[Sierra Nevada Brewing Co.=Pale Ale],
1,0.019522776572668113,[Lagunitas Brewing Company=Brown Shugga'],
1,0.009761388286334056,[Elysian Brewing=Dark O' The Moon Pumpkin Stout],
1,0.015184381778741865,[Anderson Valley Brewing Company=Fall Hornin'],
1,0.01193058568329718,[Stone Brewing Co.=Your Father Smelt of Elderberries],
1,0.01193058568329718,[Deschutes Brewery=Jubelale],
1,0.013015184381778741,[Brouwerij Lindemans=Framboise],
1,0.01735357917570499,[Stone Brewing Co.=Coffee Milk Stout],
1,0.016268980477223426,[Brouwerij St. Bernardus=St. Bernardus Abt 12],
