support,confidence,antecedent,consequent
0.010,0.333,[Deschutes Brewery=Fresh Squeezed IPA],[Firestone Walker Brewing Company=Opal]
0.012,0.314,[Russian River Brewing Company=Pliny the Elder],[Ballast Point Brewing & Spirits=Victory at Sea]
0.015,0.359,[Ballast Point Brewing & Spirits=Sculpin IPA],[Lagunitas Brewing Company=IPA]
0.013,0.414,[Firestone Walker Brewing Company=Union Jack IPA],[Stone Brewing Co.=Stone IPA]
0.013,0.364,[Stone Brewing Co.=Stone IPA],[Firestone Walker Brewing Company=Union Jack IPA]
0.009,0.421,[Allagash Brewing Company=White],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.010,0.391,[New Belgium Brewing Company=Snapshot],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.009,0.235,[Sierra Nevada Brewing Co.=Pale Ale],[Sapporo Breweries=Sapporo Premium Beer]
0.009,0.471,[Stone Brewing Co.=Xocoveza Mocha Stout],[Russian River Brewing Company=Pliny the Elder]
0.009,0.571,[Alpine Beer Company (CA)=Nelson],[Ballast Point Brewing & Spirits=Victory at Sea]
0.010,0.205,[Lagunitas Brewing Company=IPA],[Deschutes Brewery=Mirror Pond Pale Ale]
0.011,0.256,[Ballast Point Brewing & Spirits=Sculpin IPA],[Firestone Walker Brewing Company=805 Blonde]
0.011,0.333,[Boston Beer Company (Samuel Adams)=Samuel Adams OctoberFest],[Firestone Walker Brewing Company=805 Blonde]
0.009,0.444,[Rogue Ales & Spirits=Dead Guy Ale],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.009,0.286,[Sapporo Breweries=Sapporo Premium Beer],[Stella Artois=Stella Artois]
0.014,0.220,[Firestone Walker Brewing Company=805 Blonde],[Firestone Walker Brewing Company=Easy Jack]
0.011,0.256,[Ballast Point Brewing & Spirits=Sculpin IPA],[Firestone Walker Brewing Company=Union Jack IPA]
0.010,0.375,[Firestone Walker Brewing Company=Pivo Pils],[New Belgium Brewing Company=Fat Tire]
0.009,0.286,[Firestone Walker Brewing Company=Wookey Jack],[Lagunitas Brewing Company=IPA]
0.010,0.391,[Stone Brewing Co.=Delicious IPA],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.011,0.476,[Heretic Brewing Company=Chocolate Hazelnut Porter],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.009,0.267,[Boston Beer Company (Samuel Adams)=Samuel Adams OctoberFest],[Anchor Brewing Company=Anchor Steam Beer]
0.009,0.348,[Anchor Brewing Company=Anchor Steam Beer],[Boston Beer Company (Samuel Adams)=Samuel Adams OctoberFest]
0.009,0.296,[New Belgium Brewing Company=Fat Tire],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.009,0.296,[Firestone Walker Brewing Company=Pale 31],[Lagunitas Brewing Company=IPA]
0.009,0.400,[Lagunitas Brewing Company=Lagunitas Sucks],[Big Sky Brewing Company=Moose Drool Brown Ale]
0.012,0.344,[Arrogant Bastard Brewing Co.=Arrogant Bastard Ale],[Sierra Nevada Brewing Co.=Pale Ale]
0.014,0.220,[Firestone Walker Brewing Company=805 Blonde],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.010,0.273,[Stone Brewing Co.=Stone IPA],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.009,0.364,[Sierra Nevada Brewing Co.=Torpedo Extra IPA],[Lagunitas Brewing Company=IPA]
0.012,0.355,[Coors Brewing Company=Coors Light],[Anheuser-Busch=Bud Light]
0.010,0.321,[Firestone Walker Brewing Company=Velvet Merlin],[Firestone Walker Brewing Company=Velvet Mocha Merlin]
0.010,0.231,[Ballast Point Brewing & Spirits=Sculpin IPA],[Belching Beaver=Peanut Butter Milk Stout]
0.013,0.500,[Grupo Modelo S.A. de C.V.=Modelo Especial],[Sapporo Breweries=Sapporo Premium Beer]
0.009,0.286,[Sapporo Breweries=Sapporo Premium Beer],[Sierra Nevada Brewing Co.=Pale Ale]
