size,itemset,support,
1,0.010845986984815618,[Hangar 24 Craft Brewery=Betty IPA],
1,0.014099783080260303,[Firestone Walker Brewing Company=Firestone 19 (XIX) Anniversary Ale],
1,0.015184381778741865,[Firestone Walker Brewing Company=Stickee Monkee (2014)],
1,0.006507592190889371,[Grupo Damm=Estrella Damm],
1,0.009761388286334056,[Alaskan Brewing Co.=Summer Ale],
1,0.020607375271149676,[Ninkasi Brewing Company=Vanilla Oatis Stout],
1,0.01735357917570499,[Stone Brewing Co.=Xocoveza For The Holidays & The New Year],
1,0.008676789587852495,[Ballast Point Brewing & Spirits=The Commodore],
1,0.006507592190889371,[SweetWater Brewing Company=420 Extra Pale Ale],
1,0.008676789587852495,[Grupo Modelo S.A. de C.V.=Victoria],
1,0.01843817787418655,[Goose Island Beer Co.=312 Urban Wheat Ale],
1,0.014099783080260303,[Redhook Brewery=Long Hammer IPA],
1,0.008676789587852495,[21st Amendment Brewery=Fireside Chat],
1,0.007592190889370932,[Wolf Creek Brewery=Pumpkin Weizen],
1,0.007592190889370932,[Hangar 24 Craft Brewery=Local Fields Series: Gourdgeous],
1,0.016268980477223426,[Stone Brewing Co.=24 Carrot Golden Ale],
1,0.014099783080260303,[Central Coast Brewing=Raspberry A La Tart],
1,0.006507592190889371,[Green Flash Brewing Co.=Treasure Chest (2015)],
1,0.006507592190889371,[Alaskan Brewing Co.=Freeride APA],
1,0.013015184381778741,[Karl Strauss Brewing Company=Wreck Alley Imperial Stout],
1,0.009761388286334056,[John Crabbie & Co=Original],
1,0.04772234273318872,[Firestone Walker Brewing Company=Easy Jack],
1,0.01843817787418655,[Figueroa Mountain Brewing Co.=Davy Brown Ale],
1,0.008676789587852495,[Crispin Cider Company=Original Cider],
1,0.027114967462039046,[Firestone Walker Brewing Company=Opal],
1,0.014099783080260303,[Drake's Brewing Company=Black Robusto Porter],
1,0.01843817787418655,[Lagunitas Brewing Company=Pils],
1,0.026030368763557483,[Firestone Walker Brewing Company=Pivo Pils],
1,0.007592190889370932,[John Crabbie & Co=Spiced Orange],
1,0.04121475054229935,[Dogfish Head Craft Brewery=90 Minute IPA],
1,0.007592190889370932,[Alaskan Brewing Co.=Hopothermia],
1,0.010845986984815618,[Dogfish Head Craft Brewery=Festina Peche],
1,0.005422993492407809,[Great Divide Brewing Company=Hercules Double IPA],
1,0.008676789587852495,[Mac & Jack's Brewing Company=African Amber],
1,0.04772234273318872,[Lagunitas Brewing Company=IPA],
1,0.031453362255965296,[Bear Republic Brewing Co.=Racer 5 IPA®],
1,0.033622559652928416,[21st Amendment Brewery=Hell or High Watermelon],
1,0.020607375271149676,[Alaskan Brewing Co.=Amber],
1,0.04880694143167028,[Figueroa Mountain Brewing Co.=Lizard's Mouth],
1,0.06399132321041215,[Firestone Walker Brewing Company=805 Blonde],
1,0.03579175704989154,[Stone Brewing Co.=Stone IPA],
1,0.013015184381778741,[Belching Beaver=Me So Honey],
1,0.005422993492407809,[North Coast Brewing Company=Blue Star],
1,0.005422993492407809,[Ridgeway Brewing=Lump of Coal],
1,0.02928416485900217,[New Belgium Brewing Company=Fat Tire],
1,0.03470715835140998,[Arrogant Bastard Brewing Co.=Arrogant Bastard Ale],
1,0.01843817787418655,[Lost Coast Brewery=Great White],
1,0.015184381778741865,[Charles Wells Brewery=Banana Bread Beer],
