support,confidence,antecedent,consequent
0.005,0.556,[Trumer=Trumer Pils]-[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale],[New Belgium Brewing Company=Rampant]
0.007,0.250,[North Coast Brewing Company=Old Rasputin],[Mammoth Brewing Company=Double Nut Brown]
0.013,0.364,[Stone Brewing Co.=Stone IPA],[Firestone Walker Brewing Company=Union Jack IPA]
0.005,0.625,[Russian River Brewing Company=Blind Pig IPA]-[Ballast Point Brewing & Spirits=Grapefruit Sculpin],[Firestone Walker Brewing Company=Agrestic]-[Ballast Point Brewing & Spirits=Victory at Sea]
0.005,0.385,[Stone Brewing Co.=Stone Enjoy By 07.04.15 IPA],[Stone Brewing Co.=Stone Enjoy By 10.31.15 IPA]
0.007,0.250,[Goose Island Beer Co.=Goose IPA],[Figueroa Mountain Brewing Co.=Danish Red Lager]
0.005,0.208,[Modern Times Beer=Black House],[Firestone Walker Brewing Company=Unfiltered DBA (Double Barrel Ale)]
0.008,0.259,[New Belgium Brewing Company=Fat Tire],[Guinness=Smithwick's Draught / Premium Irish Ale / Red Ale]
0.005,0.385,[Lagunitas Brewing Company=New Dogtown Pale Ale],[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale]
0.005,0.208,[Firestone Walker Brewing Company=Pivo Pils],[Oskar Blues Brewery=Mama's Little Yella Pils]
0.005,0.227,[Sierra Nevada Brewing Co.=Torpedo Extra IPA],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.009,0.286,[Sapporo Breweries=Sapporo Premium Beer],[Stella Artois=Stella Artois]
0.007,0.231,[Deschutes Brewery=Mirror Pond Pale Ale],[Paulaner Gruppe=Paulaner Hefe-Weizen/Hefe-Weißbier Naturtrüb / Natural Wheat / Bräuhaus Weizen]
0.005,0.833,[Ballast Point Brewing & Spirits=Grapefruit Sculpin]-[Firestone Walker Brewing Company=Agrestic]-[Firestone Walker Brewing Company=Double Jack],[Dogfish Head Craft Brewery=90 Minute IPA]
0.005,0.833,[Lagunitas Brewing Company=Lagunitas Sucks]-[Firestone Walker Brewing Company=Agrestic],[Firestone Walker Brewing Company=Double Jack]
