support,confidence,antecedent,consequent
0.005,0.263,[Central Coast Brewing=Catch 23],[Figueroa Mountain Brewing Co.=Lizard's Mouth]
0.008,0.280,[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale],[Sierra Nevada Brewing Co.=Pale Ale]
0.007,0.261,[Firestone Walker Brewing Company=Oaktoberfest],[Stone Brewing Co.=Coffee Milk Stout]
0.005,0.312,[Drake's Brewing Company=Denogginizer],[Firestone Walker Brewing Company=Wookey Jack]
0.007,0.300,[Oskar Blues Brewery=Dale's Pale Ale],[Boston Beer Company (Samuel Adams)=Samuel Adams OctoberFest]
0.005,0.263,[Figueroa Mountain Brewing Co.=Hurricane Deck],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.005,0.556,[Stone Brewing Co.=Stone IPA]-[Sierra Nevada Brewing Co.=Pale Ale],[Arrogant Bastard Brewing Co.=Arrogant Bastard Ale]
0.005,0.200,[Shock Top Brewing Co.=Belgian White],[Grupo Modelo S.A. de C.V.=Modelo Especial]-[Sapporo Breweries=Sapporo Premium Beer]
0.005,0.556,[Deschutes Brewery=Fresh Squeezed IPA]-[Firestone Walker Brewing Company=Opal],[Lagunitas Brewing Company=IPA]
0.007,0.240,[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale],[Figueroa Mountain Brewing Co.=Danish Red Lager]
0.005,0.312,[Mendocino Brewing Company=Eye of the Hawk (Imperial Ale)],[Firestone Walker Brewing Company=Easy Jack]
0.010,0.273,[Stone Brewing Co.=Stone IPA],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.005,0.294,[Figueroa Mountain Brewing Co.=Davy Brown Ale],[Big Sky Brewing Company=Moose Drool Brown Ale]
0.007,0.462,[New Belgium Brewing Company=Blue Paddle],[Sierra Nevada Brewing Co.=Torpedo Extra IPA]
0.005,0.500,[Anderson Valley Brewing Company=Winter Solstice],[Deschutes Brewery=Black Butte Porter]
0.005,0.556,[Knee Deep Brewing Company=Breaking Bud],[Sierra Nevada Brewing Co.=Nooner Pilsner]
0.007,0.300,[21st Amendment Brewery=Brew Free! or Die IPA],[Goose Island Beer Co.=Goose IPA]
0.010,0.231,[Ballast Point Brewing & Spirits=Sculpin IPA],[Belching Beaver=Peanut Butter Milk Stout]
0.007,0.250,[Modern Times Beer=Black House],[Figueroa Mountain Brewing Co.=Hoppy Poppy IPA]
0.008,0.438,[Oskar Blues Brewery=Mama's Little Yella Pils],[Firestone Walker Brewing Company=Easy Jack]
0.005,0.312,[Green Flash Brewing Co.=Green Bullet],[Stone Brewing Co.=Ruination Double IPA 2.0]
0.005,0.294,[Russian River Brewing Company=Blind Pig IPA],[Rogue Ales & Spirits=Rogue Farms 7 Hop IPA]
0.005,0.357,[Asahi Breweries=Asahi Super Dry],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.005,0.217,[Anchor Brewing Company=Anchor Steam Beer],[Stella Artois=Stella Artois]-[Sapporo Breweries=Sapporo Premium Beer]
0.005,0.208,[Modern Times Beer=Black House],[Ninkasi Brewing Company=Vanilla Oatis Stout]
0.009,0.308,[Deschutes Brewery=Mirror Pond Pale Ale],[Karl Strauss Brewing Company=Tower 10 IPA]
0.005,0.833,[Ballast Point Brewing & Spirits=Pale Ale (Yellowtail)]-[New Belgium Brewing Company=Rampant],[Firestone Walker Brewing Company=805 Blonde]
0.005,0.357,[Jacob Leinenkugel Brewing Company=Snowdrift Vanilla Porter],[Firestone Walker Brewing Company=805 Blonde]
0.007,0.200,[Boston Beer Company (Samuel Adams)=Samuel Adams OctoberFest],[Goose Island Beer Co.=312 Urban Wheat Ale]
0.009,0.364,[Sierra Nevada Brewing Co.=Torpedo Extra IPA],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.005,0.238,[Mother Earth Brew Co. (California)=Cali' Creamin'],[Deschutes Brewery=Twilight Summer Ale]
0.005,0.217,[Firestone Walker Brewing Company=Oaktoberfest],[Stone Brewing Co.=Stone Cali-Belgique IPA]
0.007,0.286,[Heretic Brewing Company=Chocolate Hazelnut Porter],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.005,0.238,[Heretic Brewing Company=Chocolate Hazelnut Porter],[Firestone Walker Brewing Company=Wookey Jack]
0.005,0.833,[Anchor Brewing Company=Anchor Steam Beer]-[Blue Moon Brewing Company=Belgian White],[Firestone Walker Brewing Company=Union Jack IPA]-[Firestone Walker Brewing Company=Easy Jack]
0.005,0.294,[Anderson Valley Brewing Company=Boont Amber Ale],[Boston Beer Company (Samuel Adams)=Samuel Adams Boston Lager]
0.007,0.667,[Firestone Walker Brewing Company=805 Blonde]-[Firestone Walker Brewing Company=Pivo Pils],[Stella Artois=Stella Artois]
0.005,0.312,[Green Flash Brewing Co.=Green Bullet],[Russian River Brewing Company=Blind Pig IPA]
0.005,0.625,[Stone Brewing Co.=Stone IPA]-[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale],[Firestone Walker Brewing Company=805 Blonde]
0.005,0.385,[The Libertine Pub=Summer Breeze],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.008,0.280,[Firestone Walker Brewing Company=Opal],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.005,0.208,[Modern Times Beer=Black House],[Karl Strauss Brewing Company=Five Wee Heavy Bells]
0.005,0.278,[Mammoth Brewing Company=Double Nut Brown],[Belching Beaver=Me So Honey]
0.005,0.417,[Lost Coast Brewery=Downtown Brown],[Lagunitas Brewing Company=IPA]
0.007,0.250,[Firestone Walker Brewing Company=Pivo Pils],[Lagunitas Brewing Company=New Dogtown Pale Ale]
0.005,0.312,[Golden Road Brewing=Get Up Offa That Brown],[Goose Island Beer Co.=Goose IPA]
0.009,0.571,[Asahi Breweries=Asahi Super Dry],[Firestone Walker Brewing Company=805 Blonde]
0.008,0.500,[Cervecería Cuauhtémoc Moctezuma S.A. de C.V.=Dos Equis Amber],[Sapporo Breweries=Sapporo Premium Beer]
0.005,1.000,[Lagunitas Brewing Company=Imperial Red Ale]-[Firestone Walker Brewing Company=Wookey Jack],[Firestone Walker Brewing Company=Unfiltered DBA (Double Barrel Ale)]
0.005,0.357,[Drake's Brewing Company=Aroma Coma],[Firestone Walker Brewing Company=Easy Jack]
0.005,0.238,[Heretic Brewing Company=Chocolate Hazelnut Porter],[The Bruery=Rueuze]
0.005,0.217,[New Belgium Brewing Company=Snapshot],[New Belgium Brewing Company=Fat Tire]
0.008,0.206,[Sierra Nevada Brewing Co.=Pale Ale],[Anchor Brewing Company=Anchor California Lager]
0.005,0.263,[Saint Archer Brewing Company=White Ale],[Goose Island Beer Co.=Goose IPA]
0.005,0.263,[Figueroa Mountain Brewing Co.=Hurricane Deck],[Lagunitas Brewing Company=IPA]-[Figueroa Mountain Brewing Co.=Hoppy Poppy IPA]
0.009,0.242,[Stone Brewing Co.=Stone IPA],[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale]
0.008,0.250,[Sapporo Breweries=Sapporo Premium Beer],[Stone Brewing Co.=Stone IPA]
0.007,0.429,[Firestone Walker Brewing Company=Double DBA],[Firestone Walker Brewing Company=Maltose Falcons]
0.005,0.238,[Figueroa Mountain Brewing Co.=Danish Red Lager],[Trumer=Trumer Pils]-[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale]
0.005,1.000,[Central Coast Brewing=Stenner Creek Stout]-[Firestone Walker Brewing Company=Velvet Mocha Merlin],[Firestone Walker Brewing Company=Velvet Merlin]
0.005,0.294,[Stone Brewing Co.=Stochasticity Project: Master of Disguise],[Modern Times Beer=Black House]
0.009,0.276,[Firestone Walker Brewing Company=Union Jack IPA],[New Belgium Brewing Company=Ranger]
0.005,0.357,[Alpine Beer Company (CA)=Nelson],[Lagunitas Brewing Company=The Waldos' Special Ale (AKA Waldo's 420) (2015)]
0.005,0.357,[The Bruery=Tart of Darkness (2014)],[Firestone Walker Brewing Company=Agrestic]-[Ballast Point Brewing & Spirits=Victory at Sea]
0.007,0.261,[Stone Brewing Co.=Delicious IPA],[Modern Times Beer=Black House]
0.005,0.833,[Anchor Brewing Company=Anchor Steam Beer]-[Stella Artois=Stella Artois],[Sapporo Breweries=Sapporo Premium Beer]
0.007,0.250,[Goose Island Beer Co.=Goose IPA],[21st Amendment Brewery=Brew Free! or Die IPA]
0.005,0.556,[Firestone Walker Brewing Company=Pivo Pils]-[New Belgium Brewing Company=Fat Tire],[Oskar Blues Brewery=Dale's Pale Ale]
0.005,0.556,[Goose Island Beer Co.=Bourbon County Brand Stout (2014) 13.8%],[Figueroa Mountain Brewing Co.=Lizard's Mouth]
0.005,0.208,[Figueroa Mountain Brewing Co.=Hoppy Poppy IPA],[Golden Road Brewing=Get Up Offa That Brown]
0.005,0.250,[Lagunitas Brewing Company=Lagunitas Sucks],[Russian River Brewing Company=Pliny the Elder]-[Ballast Point Brewing & Spirits=Victory at Sea]
0.005,0.312,[BarrelHouse Brewing Co=BarrelHouse Stout],[Guinness=Guinness Draught]
0.005,1.000,[Ballast Point Brewing & Spirits=Sculpin IPA]-[Sapporo Breweries=Sapporo Premium Beer],[Sierra Nevada Brewing Co.=Pale Ale]
0.008,0.206,[Sierra Nevada Brewing Co.=Pale Ale],[Firestone Walker Brewing Company=Pivo Pils]
0.005,0.714,[Firestone Walker Brewing Company=805 Blonde]-[Oskar Blues Brewery=Mama's Little Yella Pils],[Ballast Point Brewing & Spirits=Sculpin IPA]-[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]
0.007,0.222,[New Belgium Brewing Company=Fat Tire],[Stone Brewing Co.=Stone IPA]
0.007,0.429,[Stone Brewing Co.=Stone Enjoy By 04.20.15 IPA],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.005,0.455,[Firestone Walker Brewing Company=Maltose Falcons],[Firestone Walker Brewing Company=Stickee Monkee (2014)]
0.007,0.222,[New Belgium Brewing Company=Fat Tire],[Stone Brewing Co.=Delicious IPA]
0.010,0.360,[Firestone Walker Brewing Company=Opal],[Deschutes Brewery=Fresh Squeezed IPA]
0.005,0.833,[Lagunitas Brewing Company=IPA]-[Dogfish Head Craft Brewery=60 Minute IPA],[New Belgium Brewing Company=Fat Tire]
0.005,0.714,[Sierra Nevada Brewing Co.=Torpedo Extra IPA]-[Stone Brewing Co.=Stone IPA],[Lagunitas Brewing Company=IPA]
0.005,0.556,[Ballast Point Brewing & Spirits=Sculpin IPA]-[Sierra Nevada Brewing Co.=Pale Ale],[Firestone Walker Brewing Company=Easy Jack]
0.007,0.545,[Firestone Walker Brewing Company=805 Blonde]-[Sapporo Breweries=Sapporo Premium Beer],[Grupo Modelo S.A. de C.V.=Modelo Especial]
0.005,0.833,[Ballast Point Brewing & Spirits=Grapefruit Sculpin]-[New Belgium Brewing Company=Cocoa Mole (Lips of Faith)],[Lagunitas Brewing Company=Lagunitas Sucks]
0.007,0.333,[Coronado Brewing Company=Idiot IPA],[Stone Brewing Co.=Stone IPA]
0.010,0.205,[Firestone Walker Brewing Company=Easy Jack],[Sierra Nevada Brewing Co.=Pale Ale]
0.007,0.375,[Modern Times Beer=Blazing World],[Firestone Walker Brewing Company=Velvet Merlin]
0.007,0.250,[Firestone Walker Brewing Company=Pivo Pils],[Firestone Walker Brewing Company=805 Blonde]-[Stella Artois=Stella Artois]
0.009,0.296,[Firestone Walker Brewing Company=Pale 31],[Sierra Nevada Brewing Co.=Pale Ale]
0.005,0.250,[Oskar Blues Brewery=Dale's Pale Ale],[Firestone Walker Brewing Company=Pivo Pils]-[New Belgium Brewing Company=Fat Tire]
0.007,0.250,[Big Sky Brewing Company=Moose Drool Brown Ale],[Dogfish Head Craft Brewery=90 Minute IPA]
0.009,0.242,[Stone Brewing Co.=Stone IPA],[Figueroa Mountain Brewing Co.=Lizard's Mouth]
0.005,0.250,[Sierra Nevada Brewing Co.=Kellerweis],[21st Amendment Brewery=Back in Black]
0.011,0.357,[Firestone Walker Brewing Company=Wookey Jack],[Firestone Walker Brewing Company=Velvet Merlin]
0.005,0.625,[Bear Republic Brewing Co.=Racer 5 IPA®]-[Stone Brewing Co.=Stone IPA],[Karl Strauss Brewing Company=Red Trolley Ale]
0.008,0.333,[Firestone Walker Brewing Company=Velvet Mocha Merlin],[Ballast Point Brewing & Spirits=Victory at Sea]
0.005,0.714,[Guinness=Smithwick's Draught / Premium Irish Ale / Red Ale]-[New Belgium Brewing Company=Fat Tire],[Arrogant Bastard Brewing Co.=Arrogant Bastard Ale]
0.007,0.214,[Firestone Walker Brewing Company=Velvet Merlin],[Modern Times Beer=Blazing World]
0.005,0.714,[Anchor Brewing Company=Anchor Steam Beer]-[Sierra Nevada Brewing Co.=Pale Ale],[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale]
0.005,1.000,[Dogfish Head Craft Brewery=90 Minute IPA]-[Ballast Point Brewing & Spirits=Grapefruit Sculpin]-[Firestone Walker Brewing Company=Agrestic],[Firestone Walker Brewing Company=Double Jack]
0.005,0.385,[Stone Brewing Co.=Stone Smoked Porter],[Figueroa Mountain Brewing Co.=Danish Red Lager]
0.005,0.833,[Anchor Brewing Company=Anchor Steam Beer]-[Blue Moon Brewing Company=Belgian White],[Firestone Walker Brewing Company=Easy Jack]
0.005,0.238,[The Bruery=Mischief],[Mother Earth Brew Co. (California)=Boo Koo]
0.008,0.212,[Stone Brewing Co.=Stone IPA],[Goose Island Beer Co.=Goose IPA]
0.005,0.833,[Anchor Brewing Company=Anchor Steam Beer]-[New Belgium Brewing Company=Fat Tire],[Firestone Walker Brewing Company=Pivo Pils]
0.008,0.280,[Stella Artois=Stella Artois],[Firestone Walker Brewing Company=Pivo Pils]
0.005,0.238,[Blue Moon Brewing Company=Belgian White],[Firestone Walker Brewing Company=805 Blonde]
0.005,0.263,[Firestone Walker Brewing Company=Agrestic],[Russian River Brewing Company=Blind Pig IPA]-[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.005,0.385,[New Belgium Brewing Company=Blue Paddle],[Deschutes Brewery=Mirror Pond Pale Ale]-[Lagunitas Brewing Company=IPA]-[Stone Brewing Co.=Stone IPA]
0.005,0.714,[Lagunitas Brewing Company=IPA]-[Figueroa Mountain Brewing Co.=Hurricane Deck],[Stone Brewing Co.=Stochasticity Project: Master of Disguise]
0.005,0.833,[Anchor Brewing Company=Anchor Steam Beer]-[Firestone Walker Brewing Company=Union Jack IPA]-[Firestone Walker Brewing Company=Easy Jack],[Blue Moon Brewing Company=Belgian White]
0.007,0.375,[Dogfish Head Craft Brewery=60 Minute IPA],[New Belgium Brewing Company=Fat Tire]
0.005,0.500,[Lagunitas Brewing Company=Imperial Red Ale],[Firestone Walker Brewing Company=Wookey Jack]
0.005,0.238,[Heretic Brewing Company=Chocolate Hazelnut Porter],[Kern River Brewing Company=Class V Stout]
0.005,0.385,[Bootlegger's Brewery=Knuckle Sandwich],[Figueroa Mountain Brewing Co.=Lizard's Mouth]
0.007,0.857,[Firestone Walker Brewing Company=Agrestic]-[Ballast Point Brewing & Spirits=Victory at Sea],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.007,0.261,[New Belgium Brewing Company=Snapshot],[Karl Strauss Brewing Company=Tower 10 IPA]
0.005,0.208,[Firestone Walker Brewing Company=Pivo Pils],[Big Sky Brewing Company=Moose Drool Brown Ale]
0.005,0.208,[Firestone Walker Brewing Company=Pivo Pils],[Anchor Brewing Company=Anchor Steam Beer]-[Stella Artois=Stella Artois]
0.009,0.320,[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.005,0.625,[Sierra Nevada Brewing Co.=Pale Ale]-[Sapporo Breweries=Sapporo Premium Beer],[Cervecería Cuauhtémoc Moctezuma S.A. de C.V.=Dos Equis Amber]-[Firestone Walker Brewing Company=Easy Jack]
0.007,0.600,[Ballast Point Brewing & Spirits=Grapefruit Sculpin]-[Firestone Walker Brewing Company=Agrestic],[Firestone Walker Brewing Company=Double Jack]
0.007,0.240,[Firestone Walker Brewing Company=Opal],[Central Coast Brewing=Terrace Hill Double IPA]
0.005,0.833,[Firestone Walker Brewing Company=Pivo Pils]-[Sapporo Breweries=Sapporo Premium Beer],[Anchor Brewing Company=Anchor Steam Beer]
0.009,0.276,[Firestone Walker Brewing Company=Union Jack IPA],[Ballast Point Brewing & Spirits=Sculpin IPA]-[Stone Brewing Co.=Stone IPA]
0.007,0.375,[New Belgium Brewing Company=Rampant],[Stone Brewing Co.=Stone IPA]
0.005,0.556,[Lagunitas Brewing Company=Citrusinensis Pale Ale],[The Bruery=Mischief]
0.005,0.238,[The Bruery=Mischief],[Rogue Ales & Spirits=Dead Guy Ale]
0.005,0.385,[New Belgium Brewing Company=Blue Paddle],[Deschutes Brewery=Mirror Pond Pale Ale]-[Stone Brewing Co.=Stone IPA]
0.005,0.208,[Firestone Walker Brewing Company=Pivo Pils],[Oskar Blues Brewery=Dale's Pale Ale]
0.005,0.238,[BarrelHouse Brewing Co=BarrelHouse IPA],[Figueroa Mountain Brewing Co.=Hoppy Poppy IPA]
0.005,0.312,[Stone Brewing Co.=Coffee Milk Stout],[North Coast Brewing Company=Old Rasputin]
0.005,0.714,[Maui Brewing Company=CoCoNut PorTeR],[Mammoth Brewing Company=Double Nut Brown]
0.009,0.296,[Ballast Point Brewing & Spirits=Victory at Sea],[Lagunitas Brewing Company=Lagunitas Sucks]
0.008,0.412,[Lagunitas Brewing Company=Night Time Ale],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.005,0.263,[Firestone Walker Brewing Company=Agrestic],[Bear Republic Brewing Co.=Apex™]
0.005,0.312,[Stone Brewing Co.=Xocoveza For The Holidays & The New Year],[Firestone Walker Brewing Company=Oaktoberfest]
0.007,0.316,[Firestone Walker Brewing Company=Agrestic],[Lagunitas Brewing Company=Lagunitas Sucks]
0.005,0.263,[Ninkasi Brewing Company=Vanilla Oatis Stout],[Firestone Walker Brewing Company=Velvet Mocha Merlin]
0.005,0.238,[North Coast Brewing Company=Brother Thelonious],[Deschutes Brewery=Black Butte Porter]
0.005,0.294,[Central Coast Brewing=Stenner Creek Stout],[Firestone Walker Brewing Company=Velvet Merlin]
0.005,0.385,[Firestone Walker Brewing Company=Union Jack IPA]-[Firestone Walker Brewing Company=Easy Jack],[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale]
0.005,0.294,[Trumer=Trumer Pils],[Firestone Walker Brewing Company=DBA (Double Barrel Ale)]-[Sierra Nevada Brewing Co.=Pale Ale]
0.007,0.273,[Sierra Nevada Brewing Co.=Torpedo Extra IPA],[Lost Coast Brewery=Downtown Brown]
0.005,0.625,[Lagunitas Brewing Company=IPA]-[New Belgium Brewing Company=Fat Tire],[Firestone Walker Brewing Company=805 Blonde]
0.008,0.292,[Firestone Walker Brewing Company=Pivo Pils],[Firestone Walker Brewing Company=Easy Jack]
0.007,0.286,[The Bruery=Mischief],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.005,0.625,[Lagunitas Brewing Company=IPA]-[Coronado Brewing Company=Idiot IPA],[Bear Republic Brewing Co.=Racer 5 IPA®]
0.010,0.205,[Firestone Walker Brewing Company=Easy Jack],[Stone Brewing Co.=Stone IPA]
0.005,0.417,[Karl Strauss Brewing Company=Peanut Butter Cup Porter],[Heretic Brewing Company=Chocolate Hazelnut Porter]
0.005,0.238,[Heretic Brewing Company=Chocolate Hazelnut Porter],[Modern Times Beer=Blazing World]
0.007,0.300,[Oskar Blues Brewery=Pinner Throwback IPA],[Sierra Nevada Brewing Co.=Pale Ale]
0.005,0.500,[Anchor Brewing Company=Anchor Steam Beer]-[Firestone Walker Brewing Company=805 Blonde],[Lagunitas Brewing Company=IPA]
0.009,0.381,[Figueroa Mountain Brewing Co.=Danish Red Lager],[Firestone Walker Brewing Company=805 Blonde]
0.005,0.238,[Blue Moon Brewing Company=Belgian White],[Firestone Walker Brewing Company=Union Jack IPA]-[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale]
0.009,0.400,[Lagunitas Brewing Company=Lagunitas Sucks],[Firestone Walker Brewing Company=Double Jack]
0.005,0.294,[Central Coast Brewing=Stenner Creek Stout],[Figueroa Mountain Brewing Co.=Hurricane Deck]
0.007,0.353,[Drake's Brewing Company=1500 Pale Ale],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.005,0.238,[Heretic Brewing Company=Chocolate Hazelnut Porter],[Dogfish Head Craft Brewery=90 Minute IPA]
0.005,0.385,[Anchor Brewing Company=Anchor California Lager],[Lagunitas Brewing Company=IPA]
0.008,0.700,[Belching Beaver=Beavers Milk],[Belching Beaver=Peanut Butter Milk Stout]
0.005,0.625,[Stone Brewing Co.=Delicious IPA]-[Stone Brewing Co.=Stone IPA],[Figueroa Mountain Brewing Co.=Lizard's Mouth]
0.012,0.333,[Stone Brewing Co.=Stone IPA],[Figueroa Mountain Brewing Co.=Hoppy Poppy IPA]
0.005,0.714,[Coronado Brewing Company=Stupid Stout],[Ballast Point Brewing & Spirits=Grapefruit Sculpin]
0.005,0.294,[Lagunitas Brewing Company=Pils],[Firestone Walker Brewing Company=Pivo Pils]
0.008,0.259,[Ballast Point Brewing & Spirits=Victory at Sea],[Lagunitas Brewing Company=IPA]
0.007,0.273,[Sierra Nevada Brewing Co.=Torpedo Extra IPA],[Stone Brewing Co.=Stone Cali-Belgique IPA]
0.007,0.207,[Bear Republic Brewing Co.=Racer 5 IPA®],[Figueroa Mountain Brewing Co.=Lizard's Mouth]
0.005,0.417,[The Bruery=Rueuze],[New Belgium Brewing Company=Le Terroir (Lips of Faith)]
0.005,0.208,[Goose Island Beer Co.=Goose IPA],[Firestone Walker Brewing Company=Union Jack IPA]
0.007,0.250,[Firestone Walker Brewing Company=Pivo Pils],[Anchor Brewing Company=Anchor Steam Beer]
0.013,0.414,[Firestone Walker Brewing Company=Union Jack IPA],[Stone Brewing Co.=Stone IPA]
0.005,0.217,[Anchor Brewing Company=Anchor Steam Beer],[Hangar 24 Craft Brewery=Chocolate Porter]
0.005,0.200,[Guinness=Guinness Draught],[Sapporo Breweries=Sapporo Premium Beer]
0.007,0.261,[Anchor Brewing Company=Anchor Steam Beer],[Firestone Walker Brewing Company=Union Jack IPA]-[Firestone Walker Brewing Company=Easy Jack]
0.008,0.368,[Figueroa Mountain Brewing Co.=Hurricane Deck],[Lagunitas Brewing Company=IPA]
0.005,0.294,[Drake's Brewing Company=1500 Pale Ale],[Lagunitas Brewing Company=IPA]-[Firestone Walker Brewing Company=Easy Jack]
0.007,0.316,[Boston Beer Company (Samuel Adams)=Samuel Adams Winter Lager],[Lagunitas Brewing Company=IPA]
0.008,0.304,[New Belgium Brewing Company=Snapshot],[Firestone Walker Brewing Company=805 Blonde]
0.005,0.357,[Lagunitas Brewing Company=IPA]-[Ballast Point Brewing & Spirits=Sculpin IPA],[Firestone Walker Brewing Company=Pale 31]
0.007,0.214,[Sapporo Breweries=Sapporo Premium Beer],[Firestone Walker Brewing Company=805 Blonde]-[Grupo Modelo S.A. de C.V.=Modelo Especial]
0.007,0.240,[Firestone Walker Brewing Company=Opal],[Green Flash Brewing Co.=West Coast IPA (2014)]
0.005,0.227,[Sierra Nevada Brewing Co.=Torpedo Extra IPA],[Boulevard Brewing Co.=Tank 7 Farmhouse Ale]
0.005,0.333,[Kona Brewing Company=Big Wave Golden Ale],[Kona Brewing Company=Longboard Island Lager]
0.007,0.214,[Sapporo Breweries=Sapporo Premium Beer],[Kona Brewing Company=Fire Rock Pale Ale]
0.005,0.294,[Drake's Brewing Company=1500 Pale Ale],[Saint Archer Brewing Company=White Ale]
0.005,0.714,[Firestone Walker Brewing Company=Easy Jack]-[Firestone Walker Brewing Company=Pivo Pils],[Anchor Brewing Company=Anchor Steam Beer]-[Sierra Nevada Brewing Co.=Pale Ale]
0.005,0.208,[Modern Times Beer=Black House],[Deschutes Brewery=Black Butte Porter]
0.005,0.312,[Golden Road Brewing=Get Up Offa That Brown],[Firestone Walker Brewing Company=Wookey Jack]
0.005,0.250,[Stone Brewing Co.=Stone Ruination IPA],[New Belgium Brewing Company=Blue Paddle]
0.005,0.385,[Anderson Valley Brewing Company=Barney Flats Oatmeal Stout],[Central Coast Brewing=Stenner Creek Stout]
0.005,0.333,[Widmer Brothers Brewing=Hefeweizen],[Boston Beer Company (Samuel Adams)=Samuel Adams Summer Ale]
0.005,1.000,[North Coast Brewing Company=Old Rasputin]-[Heretic Brewing Company=Evil Cousin],[Lagunitas Brewing Company=IPA]
0.008,0.304,[Stone Brewing Co.=Delicious IPA],[Ballast Point Brewing & Spirits=Sculpin IPA]
0.007,0.250,[Modern Times Beer=Black House],[Stone Brewing Co.=Stone IPA]
0.005,0.333,[Kona Brewing Company=Fire Rock Pale Ale],[Stone Brewing Co.=Stone Go To IPA]
0.007,0.250,[Firestone Walker Brewing Company=Pivo Pils],[Karl Strauss Brewing Company=Red Trolley Ale]
0.005,0.250,[Stone Brewing Co.=Stone Ruination IPA],[Figueroa Mountain Brewing Co.=Lizard's Mouth]
0.005,0.294,[Stone Brewing Co.=Xocoveza Mocha Stout],[Left Hand Brewing Company=Milk Stout Nitro]
0.005,1.000,[Trumer=Trumer Pils]-[New Belgium Brewing Company=Rampant],[Lagunitas Brewing Company=A Little Sumpin' Sumpin' Ale]
0.005,0.714,[Firestone Walker Brewing Company=805 Blonde]-[Cervecería Cuauhtémoc Moctezuma S.A. de C.V.=Dos Equis Amber],[Sapporo Breweries=Sapporo Premium Beer]
0.005,0.333,[Alpine Beer Company (CA)=Duet],[Ballast Point Brewing & Spirits=Sculpin IPA]
