file,min_sup,min_conf,
out1_untappd.csv,0.01,0.5,
size,itemset,support,
1,0.01832460732984293,(Lagunitas Brewing Company+Night Time Ale),
1,0.010471204188481676,(Sierra Nevada Brewing Co.+Stout),
1,0.010471204188481676,(Deschutes Brewery+The Abyss (2013)),
1,0.010471204188481676,(Sierra Nevada Brewing Co.+Hop Hunter IPA),
1,0.015706806282722512,(Sierra Nevada Brewing Co.+Beer Camp Hoppy Lager (2015)),
1,0.010471204188481676,(Ballast Point Brewing & Spirits+Pale Ale (Yellowtail)),
1,0.015706806282722512,(Goose Island Beer Co.+Goose IPA),
1,0.010471204188481676,(Karl Strauss Brewing Company+Five Wee Heavy Bells),
1,0.013089005235602094,(Ballast Point Brewing & Spirits+Tongue Buckler),
1,0.013089005235602094,(Ballast Point Brewing & Spirits+Black Marlin Porter),
1,0.015706806282722512,(Stone Brewing Co.+Stochasticity Project: Master of Disguise),
1,0.010471204188481676,(North Coast Brewing Company+Scrimshaw Pilsner),
1,0.013089005235602094,(Heretic Brewing Company+Shallow Grave),
1,0.013089005235602094,(Stone Brewing Co.+Xocoveza Mocha Stout),
1,0.015706806282722512,(Allagash Brewing Company+White),
1,0.015706806282722512,(Ballast Point Brewing & Spirits+Victory at Sea),
1,0.01832460732984293,(North Coast Brewing Company+Pranqster),
1,0.010471204188481676,(Ballast Point Brewing & Spirits+Indra Kunindra),
1,0.015706806282722512,(Deschutes Brewery+Fresh Squeezed IPA),
1,0.013089005235602094,(Rogue Ales & Spirits+Rogue Farms 7 Hop IPA),
1,0.010471204188481676,(Lagunitas Brewing Company+Imperial Stout),
1,0.01832460732984293,(Boston Beer Company (Samuel Adams)+Samuel Adams Winter Lager),
1,0.010471204188481676,(Almanac Beer Co.+Dogpatch Sour),
1,0.010471204188481676,(Boddington's Brewery+Pub Ale),
1,0.010471204188481676,(Golden Road Brewing+Point The Way IPA),
1,0.013089005235602094,(Heretic Brewing Company+Chocolate Hazelnut Porter),
1,0.010471204188481676,(Firestone Walker Brewing Company+Velvet Merkin (2013)),
1,0.013089005235602094,(Deschutes Brewery+Black Butte XXV),
1,0.013089005235602094,(Ballast Point Brewing & Spirits+Longfin Lager),
1,0.010471204188481676,(Rogue Ales & Spirits+Hazelnut Brown Nectar),
1,0.013089005235602094,(Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Tecate),
1,0.013089005235602094,(Anheuser-Busch+Budweiser),
1,0.02617801047120419,(Belching Beaver+Peanut Butter Milk Stout),
1,0.010471204188481676,(Stone Brewing Co.+Stone Enjoy By 12.26.14 IPA),
1,0.028795811518324606,(Ballast Point Brewing & Spirits+Grapefruit Sculpin),
1,0.013089005235602094,(Sierra Nevada Brewing Co.+Narwhal Imperial Stout),
1,0.010471204188481676,(Deschutes Brewery+Hop Trip),
1,0.010471204188481676,(Angry Orchard Cider Company+Green Apple),
1,0.013089005235602094,(Ballast Point Brewing & Spirits+Big Eye IPA),
1,0.02617801047120419,(Firestone Walker Brewing Company+Velvet Merlin),
1,0.010471204188481676,(Firestone Walker Brewing Company+Velvet Merkin (2014)),
1,0.015706806282722512,(Firestone Walker Brewing Company+Firestone 18 (XVIII) Anniversary Ale),
1,0.020942408376963352,(Firestone Walker Brewing Company+Velvet Mocha Merlin),
1,0.013089005235602094,(Grupo Modelo S.A. de C.V.+Corona Light),
1,0.020942408376963352,(Anchor Brewing Company+Anchor Steam Beer),
1,0.01832460732984293,(Green Flash Brewing Co.+West Coast IPA (2014)),
1,0.010471204188481676,(Karl Strauss Brewing Company+Big Barrel Double IPA),
1,0.010471204188481676,(Drake's Brewing Company+1500 Pale Ale),
1,0.013089005235602094,(Guinness+Guinness Draught),
1,0.013089005235602094,(Stone Brewing Co.+Stone Enjoy By 10.31.14 IPA),
1,0.015706806282722512,(The Bruery+Tart of Darkness (2014)),
1,0.034031413612565446,(Ballast Point Brewing & Spirits+Sculpin IPA),
1,0.01832460732984293,(Boston Beer Company (Samuel Adams)+Samuel Adams OctoberFest),
1,0.010471204188481676,(Firestone Walker Brewing Company+Oaktoberfest),
1,0.013089005235602094,(Knee Deep Brewing Company+Hoptologist DIPA),
1,0.010471204188481676,(Green Flash Brewing Co.+Le Freak),
1,0.01832460732984293,(Stone Brewing Co.+18th Anniversary IPA),
1,0.013089005235602094,(Knee Deep Brewing Company+Simtra Triple IPA),
1,0.010471204188481676,(Stone Brewing Co.+Unapologetic IPA),
1,0.02356020942408377,(Stone Brewing Co.+Stone Cali-Belgique IPA),
1,0.01832460732984293,(Sapporo Breweries+Sapporo Premium Beer),
1,0.013089005235602094,(Stone Brewing Co.+Stochasticity Project: Quadrotriticale),
1,0.010471204188481676,(Trumer+Trumer Pils),
1,0.013089005235602094,(21st Amendment Brewery+Back in Black),
1,0.020942408376963352,(Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale),
1,0.013089005235602094,(Stella Artois+Stella Artois),
1,0.015706806282722512,(Plzeňský Prazdroj+Pilsner Urquell),
1,0.01832460732984293,(Asahi Breweries+Asahi Super Dry),
1,0.013089005235602094,(Mendocino Brewing Company+Eye of the Hawk (Imperial Ale)),
1,0.015706806282722512,(Duvel Moortgat+Duvel),
1,0.013089005235602094,(Pabst Brewing Company+Pabst Blue Ribbon),
1,0.015706806282722512,(New Belgium Brewing Company+Rampant),
1,0.015706806282722512,(Stone Brewing Co.+RuinTen Triple IPA),
1,0.015706806282722512,(Spaten-Franziskaner-Löwenbräu-Gruppe+Spaten Optimator),
1,0.010471204188481676,(Guinness+Guinness Extra Stout (Canada / USA)),
1,0.010471204188481676,(Sierra Nevada Brewing Co.+Southern Hemisphere Harvest),
1,0.01832460732984293,(Figueroa Mountain Brewing Co.+Hurricane Deck),
1,0.010471204188481676,(Deschutes Brewery+Obsidian Stout),
1,0.010471204188481676,(Figueroa Mountain Brewing Co.+Danish Red Lager),
1,0.010471204188481676,(The Lost Abbey+Carnevale),
1,0.02356020942408377,(Green Flash Brewing Co.+Road Warrior),
1,0.010471204188481676,(Ballast Point Brewing & Spirits+Habanero Sculpin),
1,0.015706806282722512,(Stone Brewing Co.+Stone Sublimely Self-Righteous Black IPA),
1,0.015706806282722512,(Big Sky Brewing Company+Moose Drool Brown Ale),
1,0.013089005235602094,(The Dudes' Brewing Company+Grandma's Pecan),
1,0.013089005235602094,(North Coast Brewing Company+Brother Thelonious),
1,0.015706806282722512,(Deschutes Brewery+Black Butte Porter),
1,0.013089005235602094,(Tap It Brewing Co+American Pale Ale),
1,0.01832460732984293,(Figueroa Mountain Brewing Co.+Hoppy Poppy IPA),
1,0.013089005235602094,(The Lost Abbey+Gift of the Magi),
1,0.010471204188481676,(Sierra Nevada Brewing Co.+Torpedo Extra IPA),
1,0.01832460732984293,(Kirin Brewery Company+Ichiban (Ichiban Shibori)),
1,0.010471204188481676,(Russian River Brewing Company+Blind Pig IPA),
1,0.015706806282722512,(New Belgium Brewing Company+Salted Caramel Brownie Brown Ale),
1,0.010471204188481676,(Almanac Beer Co.+Almanac IPA),
1,0.013089005235602094,(Tap It Brewing Co+IPA (India Pale Ale)),
1,0.013089005235602094,(Dogfish Head Craft Brewery+60 Minute IPA),
1,0.010471204188481676,(Saint Archer Brewing Company+Gose),
