file              min_sup     min_conf                                                                                                                                                                                            
out1_untappd.csv  0.005       0.6                                                                                                                                                                                                 
support           confidence  antecedent                                                                                                                                                                                          consequent
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Lagunitas Brewing Company+IPA}-{Stone Brewing Co.+Stone IPA}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {North Coast Brewing Company+Scrimshaw Pilsner}-{Boston Beer Company (Samuel Adams)+Samuel Adams Boston Lager}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Saint Archer Brewing Company+Pale Ale}-{Oskar Blues Brewery+Mama's Little Yella Pils}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Sierra Nevada Brewing Co.+Pale Ale}-{Firestone Walker Brewing Company+Easy Jack}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Sierra Nevada Brewing Co.+Pale Ale}-{Firestone Walker Brewing Company+Easy Jack}-{Firestone Walker Brewing Company+Pivo Pils}-{Anchor Brewing Company+Anchor Steam Beer}
0.006             0.154       {Ballast Point Brewing & Spirits+Grapefruit Sculpin}                                                                                                                                                {Stone Brewing Co.+Stone Enjoy By 10.31.14 IPA}-{Firestone Walker Brewing Company+Agrestic}
0.006             0.154       {Ballast Point Brewing & Spirits+Grapefruit Sculpin}                                                                                                                                                {Unibroue+La Fin Du Monde}-{Firestone Walker Brewing Company+Union Jack IPA}
0.006             0.154       {Lagunitas Brewing Company+IPA}                                                                                                                                                                     {Anchor Brewing Company+Anchor Steam Beer}-{Plzeňský Prazdroj+Pilsner Urquell}
0.006             0.154       {Lagunitas Brewing Company+IPA}                                                                                                                                                                     {Drake's Brewing Company+1500 Pale Ale}-{Oskar Blues Brewery+Mama's Little Yella Pils}
0.006             0.154       {Lagunitas Brewing Company+IPA}                                                                                                                                                                     {Duvel Moortgat+Duvel}-{Anderson Valley Brewing Company+Boont Amber Ale}
0.006             0.154       {Lagunitas Brewing Company+IPA}                                                                                                                                                                     {Firestone Walker Brewing Company+805 Blonde}-{Stone Brewing Co.+Stone IPA}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.154       {Lagunitas Brewing Company+IPA}                                                                                                                                                                     {Sierra Nevada Brewing Co.+Torpedo Extra IPA}-{Firestone Walker Brewing Company+Easy Jack}
0.006             0.154       {Lagunitas Brewing Company+IPA}                                                                                                                                                                     {Stone Brewing Co.+Delicious IPA}-{Firestone Walker Brewing Company+DBA (Double Barrel Ale)}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.154       {Lagunitas Brewing Company+IPA}                                                                                                                                                                     {Stone Brewing Co.+Ruination Double IPA 2.0}-{Stone Brewing Co.+Stone IPA}
0.006             0.154       {Lagunitas Brewing Company+IPA}                                                                                                                                                                     {Stone Brewing Co.+Stone IPA}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.154       {Lagunitas Brewing Company+IPA}                                                                                                                                                                     {Trumer+Trumer Pils}-{Grupo Modelo S.A. de C.V.+Negra Modelo}
0.006             0.160       {Firestone Walker Brewing Company+DBA (Double Barrel Ale)}                                                                                                                                          {Ballast Point Brewing & Spirits+Sculpin IPA}-{Belching Beaver+Beavers Milk}
0.006             0.160       {Firestone Walker Brewing Company+DBA (Double Barrel Ale)}                                                                                                                                          {Boulevard Brewing Co.+Tank 7 Farmhouse Ale}-{BarrelHouse Brewing Co+Templeton - Kolsch Style Ale}
