id, brewery, beer
2993, Arrogant Bastard Brewing Co., Double Bastard Ale (2005)
1290, AleSmith Brewing Company, Nut Brown Ale (Barrel Aged w/ Coconut)
3414, Monkey Paw Brewing Company, The Missing Link
3253, Automatic Brewing Co., Handlebar DIPA
3582, Automatic Brewing Co., Coffee Blactagon
689, Sierra Nevada Brewing Co., Beer Camp #99 - India Farmhouse Ale
712, Gordon Biersch Brewery & Restaurant, Kombinator IPL
3095, Coronado Brewing Company, 17th Anniversary
434, Spoetzl Brewery, Shiner Wild Hare Pale Ale
1275, Saint Archer Brewing Company, Imperial Porter
70, Central Coast Brewing, Quarantine
1355, Brasserie d'Orval, Orval
2412, Coppertail Brewing Company, Unholy Trippel
3672, Pizza Port Brewing Co. , Ocean Beach 125th Anniversary (Ocean Beach)
472, Gordon Biersch Brewing Company, Märzen
3718, M.Special Brewing Company, The Greatland Special IPA
2753, Lagunitas Brewing Company, Fusion 19 - Couch Trippin'
1034, Pizza Port Brewing Co. , Pint Project Saylor’s IPA (San Clemente)
3656, Stone Brewing Co., Stone 04.04.04 Vertical Epic Ale
2144, Champion Brewing Company, Tart Berliner Weisse
1195, Boston Beer Company (Samuel Adams), Samuel Adams Harvest Pumpkin Ale
2030, Goose Island Beer Co., Pepe Nero
688, Ace Cider (The California Cider Company), Ace Perry Cider
3910, Santa Maria Brewing Co., Pale Ale
3006, Heretic Brewing Company, Tartuffe
3363, Cascade Brewing Company (USA), Kriek Ale (2011)
693, John Smiths, Newcastle Brown Ale
2493, Marin Brewing Company, Al's Not Here_ Man
2971, AleSmith Brewing Company, Speedway Stout (Macadamia Nut)
2299, Sierra Nevada Brewing Co., Hoptimum (2015)
180, De Halve Maan, Straffe Hendrik Brugs Quadrupel Bier 11°
1577, Rogue Ales & Spirits, Chocolate Stout
644, Dogfish Head Craft Brewery, 60 Minute IPA
1408, United Breweries (India), Kingfisher Premium Lager
3290, The Bruery, Sour in the Rye (Kumquats)
3220, Societe Brewing Company, The Roustabout
1597, Knee Deep Brewing Company, Citra Extra Pale Ale
3176, ManRock Brewing Co., Rabid Reaper
415, Henney's, Vintage Cider (2012)
387, Ninkasi Brewing Company, Sleigh'r Dark Doüble Alt Ale
3906, Rip Current Brewing Co., Lupulin Lust
2622, New Belgium Brewing Company, Kick (Lips of Faith)
3852, 16 Mile Brewing Company, Blues' Golden Ale
1239, Baltika Breweries, Baltika #9 Extra
1435, Bières de Chimay (Abbaye Notre Dame de Scourmont) , Chimay Blanche (Cinq Cents)
2027, Iron Fist Brewing Co., Dubbel Fisted
566, Rockmill Brewery, Cask Aged Tripel
1715, Brouwerij St. Bernardus, Abt 12 (2015)
903, Boulevard Brewing Co., The Sixth Glass
3433, Brewery John Martin & Brewery Timmermans, Timmermans Pumpkin Lambicus
1424, Pizza Port Brewing Co. , Zwickel
3495, Automatic Brewing Co., Blactagon
1124, Epic Brewing Co. (Utah Colorado), Smoked and Oaked
3062, Harpoon Brewery, Harpoon IPA
3011, The Bruery, Mélange No. 3
1731, Neshaminy Creek Brewing Company , J.A.W.N. Juicy Ale With Nugget
3450, Rip Current Brewing Co., Tube Rye-der Session IPA
1966, Ninkasi Brewing Company, Dawn of the Red
1726, Bang The Drum Brewery, Double English Maple Brown Ale
3584, Russian River Brewing Company, Erudition
537, Stone Brewing Co., Stone Sublimely Self-Righteous Black IPA
1591, Ol' Burro Brewery, Tap 79 IPA
1683, Cervecería Cuauhtémoc Moctezuma S.A. de C.V., Carta Blanca
787, Sierra Nevada Brewing Co., Ovila Dubbel Barrel Aged (2015)
2246, Brouwerij Van Honsebrouck, St. Louis Premium Faro
3043, Sierra Nevada Brewing Co., Narwhal Imperial Stout (2013)
1302, New Belgium Brewing Company, Shift
944, Firestone Walker Brewing Company, Sucaba (2013)
2830, Iron Fist Brewing Co., The Resistance
2165, Fieldwork Brewing Company, Ancient Mariner
2850, Cellarmaker Brewing Company, Saison Francisco
372, Allagash Brewing Company, White
3889, Barrel Trolley Brewing, Barrel Trolley Belgian White
1121, Brouwerij Martens , Josef Belgian Blonde Ale
1063, Central Coast Brewing, Superstitious
1769, BridgePort Brewing Co., India Pale Ale
2384, W Brewery, Clovis Independence Ale
3241, Monkey Paw Brewing Company, Jimbo's Ale
256, The Bruery, Trade Winds Tripel
1927, Ladyface Alehouse and Brasserie, Trébuchet Golden Farmhouse Ale
2415, Firestone Walker Brewing Company, Double Cream Merlin Stout
783, The Libertine Pub, Gouden Foeder
2340, DuClaw Brewing Company, Sweet Baby Jesus!
3060, Weyerbacher Brewing Company, Double Simcoe IPA
1115, Russian River Brewing Company, Perdition
2161, Central Coast Brewing, Stop Collaborate & Listen
1793, Boston Beer Company (Samuel Adams), Samuel Adams Imperial White
1729, North Coast Brewing Company, Old Stock Ale Cellar Reserve (2011)
594, Guinness, Guinness Blonde American Lager
1246, Artifex Brewing Company, Rye-diculous
3040, SweetWater Brewing Company , Crank Tank Rye'd Ale
880, Deschutes Brewery, Obsidian Nitro Stout
3175, ManRock Brewing Co., Bourbon Bit_ REAPER BOUND
3180, Automatic Brewing Co., Bones Brown
3407, Marin Brewing Company, Wimpy's IPA
346, Hangar 24 Craft Brewery, Barrel Roll No. 3 - Pugachev's Cobra (2014)
3676, Stone Brewing Co., "The Perfect Crime"
3667, Pacific Beach AleHouse, Promiscuous IPA
399, Greene King, Morland Old Speckled Hen
543, Stone Brewing Co., Spröcketbier (Black Rye Kölsch)
338, Firestone Walker Brewing Company, Union Jack IPA
1924, Beachwood Brewing, System Of A Stout
2480, Central Coast Brewing, Hop Rocket Catch 23
3497, Deschutes Brewery, The Dissident (2010)
2070, The Bruery, Atomic Kangarue
3359, Pismo Brewing Company, Roadster Red Ale
1295, Stadium Brewing Company, Amber Ale
841, W Brewing, 559 CBA (Chevy BelAir Ale)
123, Almanac Beer Co., Emperor Norton
3897, Bison Brewing Co., Hop Cuvée
3523, Lawson's Finest Liquids, Hopzilla
2659, Hangar 24 Craft Brewery, 6th Anniversary Farmhouse Saison
1658, Shipyard Brewing Company, Applehead
2392, Perrin Brewing Company, Cornlaboration
816, Hornsby's Pubdrafts, Crisp Apple
817, William's Orchards, Dragon's Breath
1570, Anacapa Brewing Company, Seaward Golden 
1777, Sierra Nevada Brewing Co., Hoptimum (2014)
547, North Coast Brewing Company, Brother Thelonious
3460, Anheuser-Busch, Budweiser Black Crown
3031, Crooked Stave Artisan Beer Project, St. Bretta (Fall)
3338, Hollister Brewing Company, Southern Chaos
3665, Rough Draft Brewing Company, Amber Ale
3216, Great Lakes Brewing Company , Blackout Stout
2344, Wicked Weed Brewing, Serenity
1904, Left Hand Brewing Company, Good Juju
2423, Great Divide Brewing Company, Espresso Oak Aged Yeti
3183, Mad River Brewing Company, Humboldt Haze
3026, Track 7 Brewing Co., Fresh Hop Hoppy Palm Pale Ale
912, Brouwerij St. Bernardus, St. Bernardus Christmas Ale
3441, Avery Brewing Company, Dihos Dactylion
3132, Lagunitas Brewing Company, Fusion 15
808, Hornsby's Pubdrafts, Amber
698, Ballast Point Brewing & Spirits, Sour Wench with Raspberries
3613, Nøgne Ø, Dark Horizon 2nd Edition
304, Bayerische Staatsbrauerei Weihenstephan, Weihenstephaner Pils
2443, Ratio Beerworks, Hold Steady
2944, Bootlegger's Brewery, Far Out IPA
2334, BridgePort Brewing Co., Stumptown Tart (2014)
781, Allagash Brewing Company, Confluence
2459, Intuition Ale Works, I-10 IPA
2220, Tioga-Sequoia Brewing Co. , Embalming Fluid
444, Creekside Brewing Company, Roggenbier
2081, Clown Shoes, Crunkle Sam
193, Hangar 24 Craft Brewery, Local Fields Series: Essence
3849, The Hop Concept, Lemon & Grassy
1170, Kona Brewing Company, Fire Rock Pale Ale
3708, Löwenbrauerei Passau, Urtyp Hell
883, The Libertine Pub, Framboise
310, Flensburger Brauerei Emil Petersen, Flensburger Pilsener
314, The Bruery, Oude Tart
1563, Goose Island Beer Co., Honker's Ale
